ID,USERNAME,PASSWORD_HASH,EMAIL,SEX,AGE,AREA,CAREER,CONFIRMED
0027,Sharon8670,pbkdf2:sha256:150000$EzkSAUoQ$f03df86202c38bfa77998ecbc011b9e5f3c1c7d2ee63b836d465794d412e8bd2,sharon86704976@hotmail.com.tw,female,45,彰化縣,住宿及餐飲業,0
0028,Marshall6859,pbkdf2:sha256:150000$5E4UUagf$1b969112dedd7dc14061a225a99cea666f41f2da0ff071f33e629f2abd3d9668,marshall68593780@yahoo.com.tw,male,43,雲林縣,出版影音及資通訊業,0
0029,Cyril6155,pbkdf2:sha256:150000$j7J5ayTR$dd4e3bf8f0f4132c67f4d5b43f718f92efd49503d3061a5d033178cf870ebd1c,cyril61556193@yahoo.com.tw,male,41,雲林縣,金融及保險業,0
0030,Camilla9153,pbkdf2:sha256:150000$cQYodF5n$eae93923435acec4457a889d0bb764c5786c88c24d84f04a4f905a8dea6898fd,camilla91532383@yahoo.com.tw,female,45,澎湖縣,醫療保健及社會工作服,0
0031,Helen7304,pbkdf2:sha256:150000$DjC3eVjQ$f918939b0d14acad50bb9272b116209d30ba442c7d44f7026bfe74c50725e428,helen73046986@hotmail.com.tw,female,26,新竹市,其他,0
0032,Nathan9188,pbkdf2:sha256:150000$mEcNDy2r$8d0e36e2e55f668caa1c2ad220c4b27eac374db02d997ce8c6a8160e8aa99e7b,nathan91882122@yahoo.com.tw,male,56,南投縣,其他,0
0033,Camilla8903,pbkdf2:sha256:150000$q2RwEoTs$96e05d80910e727f9375ad9d3179ddc2bebc31a5fac43fbd8c6c3b515358c6d7,camilla89037359@hotmail.com.tw,female,45,臺北市,其他,0
0034,Jim7433,pbkdf2:sha256:150000$qAGcGMgk$25a79106f48d92b1bbfdd1a3bc955040156672c0633db84ea2467bd45a6df1bd,jim74336309@yahoo.com.tw,male,58,宜蘭縣,教育業,0
0035,Reuben113,pbkdf2:sha256:150000$FMGxQL0i$3b96b377b09dd4a5713f590eec1a5a667814a74a8647fe38ac2095444b0d9c20,reuben1138207@gmail.com.tw,male,44,高雄市,出版影音及資通訊業,0
0036,Oliver7835,pbkdf2:sha256:150000$xmAnAhUB$42291f4f689fe8704bd3f8a54541568fb865551853f80c0d1d783f6bac5a19a0,oliver78355244@gmail.com.tw,male,65,南投縣,住宿及餐飲業,0
0037,Ira1519,pbkdf2:sha256:150000$bxKdzdem$d4b36f8055f3c294c08457e8ec4544918fbd9ca6cedca3c2cd5b4ff895de8179,ira15196437@gmail.com.tw,male,57,臺北市,批發及零售業,0
0038,Archibald741,pbkdf2:sha256:150000$YvLzpOtr$083fd8a7fd2f5271791baebcf907338a344e12801547a280db077d541839f5e8,archibald74187997@yahoo.com.tw,male,51,花蓮縣,住宿及餐飲業,0
0039,Reg6117,pbkdf2:sha256:150000$14ottMe0$23d9898d1736b6c0560ad84ca70aa44780b1e47bb6da28edf20ae6d574061d12,reg61176184@yahoo.com.tw,male,17,新竹縣,教育業,0
0040,Diane2138,pbkdf2:sha256:150000$jLqCzeof$9a063a3e113614e0a750fad3a2c806380a87f38f0a4819407475f19065e6b364,diane21383665@yahoo.com.tw,female,43,雲林縣,農、林、漁、牧業,0
0041,Maud9078,pbkdf2:sha256:150000$k1Wly175$6ecdc7de422a83c8889f2ae3bafd8e11c5f73d1cfb8fbec05d4a05885a21cf4d,maud90785075@yahoo.com.tw,female,21,雲林縣,批發及零售業,0
0042,Victoria6066,pbkdf2:sha256:150000$ME5Zp1AY$dca40691fb9f6ae3b615bb57b14b7d97effd5c62170870057364388279798b43,victoria60668786@yahoo.com.tw,female,59,南投縣,教育業,0
0043,Eva5605,pbkdf2:sha256:150000$XEHHu5mm$552a322f15cdec7e953e05e7b62d147a9ca5f177c4df92a79e9f5a3b388beda0,eva56055271@yahoo.com.tw,female,35,苗栗縣,住宿及餐飲業,0
0044,Jimmy9394,pbkdf2:sha256:150000$7ZhpcqBf$0301bb9c6f80f4ebdaf9f9125aca7785abc7264d8f6ab28a1fdf0a31a44650a6,jimmy93946308@hotmail.com.tw,male,32,新北市,農、林、漁、牧業,0
0045,Millie8658,pbkdf2:sha256:150000$uCe0SFy3$f3613bcf4370022f1238ea0bdc22d4b5d21487e27bff198779468c205681a789,millie86589230@yahoo.com.tw,female,32,臺南市,金融及保險業,0
0046,Mitchell1698,pbkdf2:sha256:150000$bYru7aS9$f91044e26fb357a6f5d8a51dfb4eb176e1c59f40a632f68ffce59e08d3f362d4,mitchell16986278@hotmail.com.tw,male,61,新竹市,醫療保健及社會工作服,0
0047,Corinna3193,pbkdf2:sha256:150000$nCv0lsSd$e8e036b51b23eecfeb80a8e5207a0bf9f4b95ea6a34b2c74f0342c13b95de06e,corinna31937347@gmail.com.tw,female,57,新竹市,藝術、娛樂及休閒服務,0
0048,Rose5209,pbkdf2:sha256:150000$JbIj2xYk$67e1c7aa9a5861059b321a962621f8aacc7dd783c78c9cd1ab017c357325c5b8,rose52098886@gmail.com.tw,female,48,嘉義縣,其他,0
0049,Julie6709,pbkdf2:sha256:150000$ZZWfTF9T$6640bc94cf5147f2d9f7b5e29bdd4b6dc33885db9b39662e51e34f7d721cb1b5,julie67091330@hotmail.com.tw,female,21,高雄市,教育業,0
0050,Julia4039,pbkdf2:sha256:150000$1eHbdT6f$6ba81908c7ef93145e1d77a7fa928b8bdcad775f91e5586a388cdd875eef6b82,julia40392090@gmail.com.tw,female,23,新北市,醫療保健及社會工作服,0
0051,Sandy4326,pbkdf2:sha256:150000$N7FXQFBU$82c9bb8e9ba859fad7ed656a4b83f51a59c54b1cfce6faf5b7ef8bad1d4a09d3,sandy43261847@hotmail.com.tw,male,31,苗栗縣,金融及保險業,0
0052,Isaac7249,pbkdf2:sha256:150000$x1v3hStx$6ec8996d85563545d8b9a37e1e4b0e135c5a3f78a157f39cec0f84debec0ae43,isaac72494303@yahoo.com.tw,male,66,屏東縣,農、林、漁、牧業,0
0053,Derek6483,pbkdf2:sha256:150000$fGGFbkYH$e05b817642d3e89a0f1a2e727c326a77396e403f219242458bb4060100f6247e,derek64835940@gmail.com.tw,male,29,南投縣,運輸及倉儲業,0
0054,Roderick2297,pbkdf2:sha256:150000$D44ehaYc$cff43f52f8db1a5f875edee485e1dccd94659bac54092ee943c265e202cf6602,roderick22974620@hotmail.com.tw,male,18,基隆市,運輸及倉儲業,0
0055,Curt2580,pbkdf2:sha256:150000$32dzl9q5$b4711dea30bf348bda4c93ab498b00381740abaa38770e2f19df6377ac052e24,curt25807625@yahoo.com.tw,male,41,臺東縣,運輸及倉儲業,0
0056,Melanie524,pbkdf2:sha256:150000$ncibEJCS$93f6eaa77be85a6a9014a816599d3225f2e3c453c8056ecb3a917b7f158e6ef6,melanie5242507@hotmail.com.tw,female,47,彰化縣,藝術、娛樂及休閒服務,0
0057,Anne1677,pbkdf2:sha256:150000$O4hL5svB$380d8ab539b4458c6ebbcd86bf09fc8a9a72115be2875a53969d13a96591a97f,anne16773807@gmail.com.tw,female,49,桃園市,藝術、娛樂及休閒服務,0
0058,Viv805,pbkdf2:sha256:150000$ChHVX3z9$03a6f485f5ab6574b4cdc8d31d2c3564827f93ef54fa748c5ef13bc7a0a6504e,viv8059955@gmail.com.tw,female,30,臺中市,農、林、漁、牧業,0
0059,Ozzie1050,pbkdf2:sha256:150000$UvJBsTeJ$90491a56cec4a3fba8880b095f7bebed47cf3843c959267a1453398eafb19899,ozzie10509277@gmail.com.tw,male,66,臺北市,出版影音及資通訊業,0
0060,Sheila7508,pbkdf2:sha256:150000$wd9hELoW$13ac20007dc7e379d4f2d624ff2f2e0e07e044c54cacf9441dd38405a4d87a7d,sheila75085051@hotmail.com.tw,female,21,屏東縣,教育業,0
0061,Rita595,pbkdf2:sha256:150000$vxi02b3p$3a5d4232b74c8108621ec9dc1f40fd2012397ac74366733337b8554e458a1e1d,rita5954368@hotmail.com.tw,female,65,臺北市,出版影音及資通訊業,0
0062,Lucius943,pbkdf2:sha256:150000$Tn1BKhjc$6ae64c2e2e22067efaca8298e17a8866433c70af1a6c6a3d2a9690102320a43b,lucius9439151@hotmail.com.tw,male,46,南投縣,其他,0
0063,Jeff6543,pbkdf2:sha256:150000$KzEotpve$24f6b536ef1acb919a45e260384c6dba5ad26e03d3dcd2dd4861236620b3e77b,jeff65431654@yahoo.com.tw,male,37,基隆市,其他,0
0064,Charlie6674,pbkdf2:sha256:150000$m5wqpmBb$f531cc0abd1f45e46f3621cf78101f9567dec0a9e9cf52363ab9c1eb686b2a42,charlie66748642@yahoo.com.tw,male,39,高雄市,醫療保健及社會工作服,0
0065,Alethea8691,pbkdf2:sha256:150000$zgAzszFz$c6968f9e44b1d543a9507001ff013891b051210e7a461f66766d021fb90d30d7,alethea86919262@hotmail.com.tw,female,66,臺北市,住宿及餐飲業,0
0066,Lesley4757,pbkdf2:sha256:150000$wICAmyZS$cd28597890e09b9f7551bfad6c76ed50086b5c236cafaae9f82e085321fd8ba0,lesley47571030@gmail.com.tw,female,27,桃園市,藝術、娛樂及休閒服務,0
0067,Gordon1782,pbkdf2:sha256:150000$M3IDCsn8$8ed744a16191bb9efae1f3eeeae9686cab2a3b1f22a86fffe2da3df805e09b01,gordon17827164@yahoo.com.tw,male,20,新竹市,教育業,0
0068,Gracie2775,pbkdf2:sha256:150000$oVczi3kz$9452838872b41a4103c32d6fd8a3f26c94fd81bb22501f839213e71625b16cf6,gracie27751944@hotmail.com.tw,female,53,桃園市,醫療保健及社會工作服,0
0069,Earl2746,pbkdf2:sha256:150000$ULCpGJOt$7b95c16d345849bdd9f7d020f3421f1e169caf98574d92dbc6121e21cab8e04c,earl27462675@hotmail.com.tw,male,38,新北市,出版影音及資通訊業,0
0070,Elva8179,pbkdf2:sha256:150000$yMecXJzH$c5c802afd0710152b82cc0c439cbe5e6ad10a84f65aa8cae958082d37d3ca4f2,elva81796414@hotmail.com.tw,female,32,臺北市,金融及保險業,0
0071,Philippa6443,pbkdf2:sha256:150000$puYKRCV7$8e2df3c151e5ac8947d18c1c5f003673617a1c994a187540f6e49e9c6d5bcafc,philippa64433831@gmail.com.tw,female,20,桃園市,製造業,0
0072,Suzanne27,pbkdf2:sha256:150000$RwroQUzE$cd3a2157783149c1939ace319a1604c07a420817f9ba0e1dff64cf7664d3aedf,suzanne273345@gmail.com.tw,female,54,新北市,農、林、漁、牧業,0
0073,Theo5388,pbkdf2:sha256:150000$89Y6GwkM$6f250104fd0b50c17490352f20710a3cb83a2ec0361aa6ebad8a8c849cd5b165,theo53882950@yahoo.com.tw,male,22,南投縣,出版影音及資通訊業,0
0074,Nick7234,pbkdf2:sha256:150000$ZwIQHFqd$049bdb0227eb948baad10174dfd2b60e625c9d01b253f226e63f4219c8028ec9,nick72343411@gmail.com.tw,male,54,臺北市,其他,0
0075,Yvonne4227,pbkdf2:sha256:150000$KXA0KnZQ$5d05b01346ca0d779c6611a1f8155b0fcc8c5144ac18464880d8b46882a88917,yvonne42277050@gmail.com.tw,female,59,新北市,製造業,0
0076,Alden8640,pbkdf2:sha256:150000$4lMOyzOI$160b0e6b2d4eed9a4d476a3d143e377a7a33b9a33bf38fe9e7d4c8ac2fe4d4de,alden86409606@yahoo.com.tw,male,51,嘉義市,農、林、漁、牧業,0
0077,Alethea2384,pbkdf2:sha256:150000$LNkScs18$079c284deb49f70760527875647631732199339b0677105b0f9cb1f3842b918c,alethea23846394@yahoo.com.tw,female,67,高雄市,住宿及餐飲業,0
0078,Gerard9971,pbkdf2:sha256:150000$YX0eK8Bm$0456f47bb76bd211da287d893bc634e376059b31e24030754bf99bac6e34a250,gerard99717815@gmail.com.tw,male,44,臺南市,金融及保險業,0
0079,Anna9959,pbkdf2:sha256:150000$bSm9CKXT$9f41be34c0e8888f64c444b69015afeb9db4a3f8a097315bbf6ec1f5dc663c07,anna99591998@hotmail.com.tw,female,27,基隆市,其他,0
0080,Hilary9886,pbkdf2:sha256:150000$RvBBe028$8384ffa733a23b9cc50ea4f9015691939b27fab8e68d686fc23cd4c610a30e72,hilary98863269@hotmail.com.tw,male,32,臺東縣,製造業,0
0081,Cyril3644,pbkdf2:sha256:150000$cJrLk9gL$72ad72a88fef89caa5f9d390a0321b4b67b2970236501d7ef01fcfb84680727d,cyril36443185@gmail.com.tw,male,68,雲林縣,金融及保險業,0
0082,Jonathan1130,pbkdf2:sha256:150000$eQjfiHar$0b35d6c06047db0cc77f490c50fd25ffed8c343104aecbacd93eb7cecd48eb74,jonathan11303223@gmail.com.tw,male,29,嘉義縣,教育業,0
0083,Frankie9769,pbkdf2:sha256:150000$MJVcRFJn$81e923f3f53415a67c533dbc6590147ae4a4d761ee575a3646c5f6ae21a150fa,frankie97696526@yahoo.com.tw,male,27,臺南市,金融及保險業,0
0084,Josephine517,pbkdf2:sha256:150000$brciIwcb$5fbe56534679291d5d59489a8dea44c8398f884d7c3c7308a82a7e7bac63ded3,josephine51731549@hotmail.com.tw,female,27,屏東縣,農、林、漁、牧業,0
0085,Dean2064,pbkdf2:sha256:150000$nlfhQ2Kc$77fb8f8b4c775ae6499bf1532fe40dff9235d3fc5042d9a1222df31a80550cf6,dean20647155@gmail.com.tw,male,64,新竹縣,住宿及餐飲業,0
0086,Curtis6575,pbkdf2:sha256:150000$orRzEg87$381eeda162773b3e2bd429fff7f953f1b66631f400bbf3b2ae65307ef2ca968a,curtis65757639@yahoo.com.tw,male,40,基隆市,醫療保健及社會工作服,0
0087,Kenny8498,pbkdf2:sha256:150000$ysmivF6I$dcd099aff3eb33f4343eeded4949a2e64ecd513b38bbb7ffbc3116b93b119158,kenny84986706@gmail.com.tw,male,51,嘉義市,批發及零售業,0
0088,Leslie1871,pbkdf2:sha256:150000$QDqDjBL6$7069fa6c70acdb1e1256712beb3b6870c8d1d405786014844bdc1ccb2fb3f03e,leslie18712670@hotmail.com.tw,male,35,新北市,住宿及餐飲業,0
0089,Jocelyn2997,pbkdf2:sha256:150000$3RBBqRjG$4c9ab5e1a48e82da681ab959dd9a90386beaede6d109190b4867751ccbe4c243,jocelyn29976647@yahoo.com.tw,female,18,臺北市,其他,0
0090,Heather7036,pbkdf2:sha256:150000$XgtJ41pf$5d6643fb9a8d10922121e46e1f97a03f587500bdcd14afb553e1d49a2e0b66e1,heather70369527@yahoo.com.tw,female,26,桃園市,製造業,0
0091,Wally3385,pbkdf2:sha256:150000$IdFTYWC5$3124f32dc0f93f4ed797e6fdbbbcfbc49e5076d4b460269ca096eefdb213e1eb,wally33853735@hotmail.com.tw,male,24,臺東縣,藝術、娛樂及休閒服務,0
0092,Lou6808,pbkdf2:sha256:150000$ILHR9Upj$6ff3f6a552381f0b83675efaa6f67c8061b86b93c2a1340e6a000e078e825744,lou68088785@gmail.com.tw,male,42,嘉義市,製造業,0
0093,Amy5423,pbkdf2:sha256:150000$tIuTLhu3$294d6b0e2c43b26be3b65b46520a46587dfd7f2700613a439c3faa237fe15f0f,amy54238456@hotmail.com.tw,female,53,桃園市,農、林、漁、牧業,0
0094,Janey8036,pbkdf2:sha256:150000$Ti9LqNTt$72c1a10e2971c08c91bba2ebb5c3488d0c3de3dbb2c54b1bfbc466c0b9788a44,janey80363191@yahoo.com.tw,female,25,臺南市,農、林、漁、牧業,0
0095,Paul2702,pbkdf2:sha256:150000$u3TPgolt$9277746747e39e6cdc3f9698c588a0f268486f52be51af14f453b7775f4660bc,paul27028280@hotmail.com.tw,male,42,嘉義市,藝術、娛樂及休閒服務,0
0096,Vivian8716,pbkdf2:sha256:150000$kgaNzijS$a92d0bb54733111c9a8667d96960ea2215e3bf7f242c08d9c0a13fc14a76950e,vivian87161793@hotmail.com.tw,female,42,屏東縣,製造業,0
0097,Phyllis1180,pbkdf2:sha256:150000$F2ck5SxK$c4e3e660db17fe48282d5176df7a27eac1189c87a645c2e7908df8758fff163f,phyllis11802101@gmail.com.tw,female,18,彰化縣,其他,0
0098,Nan3915,pbkdf2:sha256:150000$YGp7kxLL$61ede2e9d607dbc47041582042285aabd2f1858d272436fb420492be31843599,nan39155009@yahoo.com.tw,female,22,臺南市,藝術、娛樂及休閒服務,0
0099,Fiona31,pbkdf2:sha256:150000$J2fyvCOj$82f2a50c69d694fd8523f2d53313c8138c7ba5923cba9c762b9ac1c0113de9e0,fiona319388@gmail.com.tw,female,53,嘉義市,藝術、娛樂及休閒服務,0
0100,Graeme9801,pbkdf2:sha256:150000$BZ1lutkz$fe68a5330641657f54ae6358e5c0470e647f1f1733bece455260e09555396472,graeme98019678@gmail.com.tw,male,68,宜蘭縣,金融及保險業,0
0101,Andrew4316,pbkdf2:sha256:150000$QPugCSAC$181452914336c4958692513ade30c892e744f3574e68bfc2b170212dd3b4ebf5,andrew43168334@hotmail.com.tw,male,65,花蓮縣,金融及保險業,0
0102,Rebecca1854,pbkdf2:sha256:150000$l2ZG3QEw$04e389b42698cf4662e068895209bace638c849dbee7b97fdc3a59d7ed2b4f57,rebecca18548106@gmail.com.tw,female,54,彰化縣,醫療保健及社會工作服,0
0103,Ralph1506,pbkdf2:sha256:150000$tESqmCzC$70a7c3e61d97fc5ef125ee868d9809fd363f7abed189dcb986a1ff989c788343,ralph15069998@yahoo.com.tw,male,22,澎湖縣,製造業,0
0104,Persis1755,pbkdf2:sha256:150000$ValJ3Fw6$5307f9c508ca293a040ca0742d2b24c15c8bf6753419ef40711b52a364c019d4,persis17551345@hotmail.com.tw,female,36,高雄市,農、林、漁、牧業,0
0105,Beata1477,pbkdf2:sha256:150000$a2B31PHp$c4d62775f56dfe08c9de85e25e29c7c495fc2147f3324b0dd579da7e5e98e37d,beata14771740@yahoo.com.tw,female,54,新北市,藝術、娛樂及休閒服務,0
0106,Dwight9971,pbkdf2:sha256:150000$0a8VwAdT$e9a72542d7c5f77969fafbdbd054c5e24173988d605f50df476e2dc403713706,dwight99719618@yahoo.com.tw,male,59,新竹市,運輸及倉儲業,0
0107,Errol3694,pbkdf2:sha256:150000$m7h8hUm6$7f24312d0f5d69447d6933ead1c6cf93f7432189349d2af1575f13c596b746f6,errol36943017@hotmail.com.tw,male,15,彰化縣,藝術、娛樂及休閒服務,0
0108,Elva4387,pbkdf2:sha256:150000$6Vdo1VHH$580bff9e020941a65fdd7ea5fb97f5cd06aeb8b67ce6e22267cbea9254f9d294,elva43877178@hotmail.com.tw,female,67,屏東縣,農、林、漁、牧業,0
0109,Ava9276,pbkdf2:sha256:150000$SW5t90st$bf9bdc17573a087e70fee67e628e721fe5373aa5b1ec655a6d1878ccc3d6259c,ava92768740@hotmail.com.tw,female,63,宜蘭縣,藝術、娛樂及休閒服務,0
0110,Fidelia5864,pbkdf2:sha256:150000$qryFcpTo$08246d3967553677e6c208131a6b4445eab481dc4cb7cca4fa40323f60c0a9dd,fidelia58644254@hotmail.com.tw,female,24,苗栗縣,出版影音及資通訊業,0
0111,Edna7133,pbkdf2:sha256:150000$NB5j9KBt$f1100362e07a9c266dc0e1a56833bd22818e7d0eee37f38a8dcde3efdd3cf2c7,edna71338732@gmail.com.tw,female,21,彰化縣,批發及零售業,0
0112,Natalie2437,pbkdf2:sha256:150000$UMbdIxsB$68dc8510d5f003216d3d4a3e49d5d724dbf4f56ac64cbae84584ffdae4db05f9,natalie24375687@yahoo.com.tw,female,66,臺南市,其他,0
0113,Beryl4286,pbkdf2:sha256:150000$sSxtZw3X$220c7be2e4dd835f2f73aa44409449ab9b17889af5d02de95aed93a7f71b7a9f,beryl42864944@yahoo.com.tw,female,43,桃園市,醫療保健及社會工作服,0
0114,Basil5630,pbkdf2:sha256:150000$OP3N6Jj6$5217e1a49524d487b60e5fbb6b2e5c8c5949ed273a832f36986fb51cfacb2e32,basil56307323@yahoo.com.tw,male,63,澎湖縣,醫療保健及社會工作服,0
0115,Dot497,pbkdf2:sha256:150000$Vcz7cKJS$eade6ef43a926b0f3caa67b1f6ba9187b3b7ddb5443df1acaa752177f16bcc04,dot4976983@hotmail.com.tw,female,24,高雄市,教育業,0
0116,Stella5249,pbkdf2:sha256:150000$njqD1B7N$96ee4399126256f4ab8fcdf7d28735aaf30de027a1e98dc7cfb2788789c3f97c,stella52494931@gmail.com.tw,female,34,新北市,金融及保險業,0
0117,Timmy2752,pbkdf2:sha256:150000$Ucfu4zuZ$61070e2f4cd8879a5ba0c865af5dfe9b3dc2919374d2d11005999a8956614acc,timmy27529544@gmail.com.tw,male,48,新竹市,金融及保險業,0
0118,Benjamin9628,pbkdf2:sha256:150000$w8aonLmQ$3655dd8f23d0c0197274f25004faa5ede51e39e41a49bd6665025c08b03c8166,benjamin96285588@hotmail.com.tw,male,66,苗栗縣,批發及零售業,0
0119,Kay3015,pbkdf2:sha256:150000$6y8ZJX7B$1bb3f07c9d240eeb984b05583d7c3e6845a93739958ebac9eba98562bdc48a61,kay30158462@gmail.com.tw,female,31,屏東縣,批發及零售業,0
0120,Angie5375,pbkdf2:sha256:150000$DtkcUTFM$52c5a09f02001a46b27b9d0a5dee53064a9108bc2f8cd4a8add43bfb49d17739,angie53751728@yahoo.com.tw,female,46,桃園市,藝術、娛樂及休閒服務,0
0121,Elva783,pbkdf2:sha256:150000$o3Z9cjQk$7b5e15ec7298090e15ccfe59547471bbc79535967b95977eb34773dfcb0777a7,elva7837441@hotmail.com.tw,female,15,新北市,批發及零售業,0
0122,Karl1835,pbkdf2:sha256:150000$JktaAInl$d4bed25be8524ccd3e725c6b1ff4bae5f27b8aa2ff2a692238dbf74e88c8fa29,karl18355540@hotmail.com.tw,male,36,嘉義市,教育業,0
0123,Joseph6158,pbkdf2:sha256:150000$rMijNh7u$3321027fa49ccad959659c0709bcfef5ddb71808ef9a38ef6dc874702282a21b,joseph61581368@yahoo.com.tw,male,23,臺東縣,其他,0
0124,Jeanie8167,pbkdf2:sha256:150000$ItdM9GUK$97abf245ce0ffadcbf80ec6403ef94a4ec8a83c3612f8f966f1cb90d097518b2,jeanie81674343@hotmail.com.tw,female,37,花蓮縣,醫療保健及社會工作服,0
